Male,Chamber,Date,song_count,song_rate (songs/min),counter,Desired Temp,Actual MeanTemp,Actaul Median Temp,Mean Humidity,Test_order,Mass,Bill Length,Bill depth ,Bill width,Date Morph Data Collected,Time Spent panting 30-15 before female,Time Spent panting 15-0 before female,Time Spent panting 0-15 after female,Time Spent panting 15-30 after female
T244,4,07/01/2022,81,2.70,KIM,42,39.6743929,40.5,24.13852097,5,,,,,,,,,
T237,6,06/23/2022,117,3.90,KIM,35,33.7372506,34,31.1075388,1,19.5,8.4,7.5,6.4,7/11/22,,,,
T237,6,06/25/2022,86,2.87,KIM,42,40.4761905,41,24.94850498,2,,,,,,,,,
T237,6,06/27/2022,179,5.97,KIM,27,29.4619205,29.5,38.01821192,3,,,,,,,,,
T237,6,06/29/2022,92,3.07,KIM,44,42.3411633,43,21.86577181,4,,,,,,,,,
T237,6,07/01/2022,151,5.03,KIM,40,38.2262693,38.5,26.44370861,5,,,,,,,,,
T243,2,07/12/2022,138,4.60,KIM,40,39.3647903,40,24.3714128,1,20,8,7.2,6.9,7/20/22,,,,
T243,2,07/14/2022,119,3.97,KIM,44,42.4873068,44,21.73565121,2,,,,,,,,,
T243,2,07/16/2022,207,6.90,KIM,42,41.25883,42.5,22.35761589,3,,,,,,,,,
T243,2,07/18/2022,90,3.00,KIM,35,34.0121413,34.5,29.93708609,4,,,,,,,,,
T243,2,07/20/2022,59,1.97,KIM,27,28.7450331,29,38.92384106,5,,,,,,,,,
T259,4,07/12/2022,7,0.23,KIM,35,33.2836645,33.5,30.63300221,1,16,8.7,7.3,6.2,7/20/22,,,,
T259,4,07/14/2022,0,0.00,KIM,40,38.0077263,38.5,25.25883002,2,,,,,,,,,
T259,4,07/16/2022,0,0.00,KIM,42,40.2378587,41,22.95584989,3,,,,,,,,,
T259,4,07/18/2022,0,0.00,KIM,44,41.6434879,42.5,22.05684327,4,,,,,,,,,
T259,4,07/20/2022,18,0.60,KIM,27,29.0198675,29,38.24172185,5,,,,,,,,,
T258,6,07/12/2022,74,2.47,KIM,35,33.7229581,34,31.09988962,1,15,8.5,7.6,6.5,7/20/22,,,,
T258,6,07/14/2022,45,1.50,KIM,40,39.1363135,39.5,25.17715232,2,,,,,,,,,
T258,6,07/16/2022,20,0.67,KIM,27,29.6451435,29.5,36.96743929,3,,,,,,,,,
T258,6,07/18/2022,32,1.07,KIM,42,40.6830752,41.5,23.80088496,4,,,,,,,,,
T258,6,07/22/2022,,0.00,KIM,44,,,,5,,,,,,,,,
T257,1,07/11/2022,176,5.87,KIM,27,31.2292359,31.5,30.86378738,1,15,8.6,7.5,6.3,7/20/22,,,,
T257,1,07/13/2022,169,5.63,KIM,35,34.1230684,34,27.02041943,2,,,,,,,,,
T257,1,07/15/2022,317,10.57,KIM,42,41.4839956,42,19.44039735,3,,,,,,,,,
T257,1,07/17/2022,245,8.17,KIM,44,42.8068433,44,18.46357616,4,,,,,,,,,
T257,1,07/19/2022,253,8.43,KIM,40,38.8427152,39.5,25.66335541,5,,,,,,,,,
T260,3,07/11/2022,43,1.43,KIM,40,37.6434928,38.5,25.11067853,1,15.5,8.7,7.6,6.8,7/20/22,,,,
T260,3,07/13/2022,74,2.47,KIM,35,33.8051876,34,29.94426049,2,,,,,,,,,
T260,3,07/15/2022,65,2.17,KIM,42,40.683223,42,22.82450331,3,,,,,,,,,
T260,3,07/17/2022,76,2.53,KIM,27,31.3636865,31.5,33.07119205,4,,,,,,,,,
T260,3,07/19/2022,198,6.60,KIM,44,40.9828918,42.5,23.11203091,5,,,,,,,,,
