male,chamber,date,motif_count,motif_rate,counter,temp_target,temp_mean,temp_median,humidity_mean,test_order,mass,bill_length,bill_depth,bill_width,date_morph_data_collected,time_spent_panting_30-15_before_female,time_spent_panting_15-0_before_female,time_spent_panting_0-15_after_female,time_spent_panting_15-30_after_female
T258,6,07/18/22,32,1.07,KIM,42,40.6830752,41.5,23.80088496,4,,,,,,,,,
T258,6,07/22/22,0,0,KIM,44,44.833333,45,21.0378,5,,,,,,,,,
T257,1,07/11/22,176,5.87,KIM,27,31.2292359,31.5,30.86378738,1,15,8.6,7.5,6.3,07/20/22,,,,
T257,1,07/13/22,169,5.63,KIM,35,34.1230684,34,27.02041943,2,,,,,,,,,
T257,1,07/15/22,317,10.57,KIM,42,41.4839956,42,19.44039735,3,,,,,,,,,
T257,1,07/17/22,245,8.17,KIM,44,42.8068433,44,18.46357616,4,,,,,,,,,
T257,1,07/19/22,253,8.43,KIM,40,38.8427152,39.5,25.66335541,5,,,,,,,,,
T260,3,07/11/22,43,1.43,KIM,40,37.6434928,38.5,25.11067853,1,15.5,8.7,7.6,6.8,07/20/22,,,,
T260,3,07/13/22,74,2.47,KIM,35,33.8051876,34,29.94426049,2,,,,,,,,,
T260,3,07/15/22,65,2.17,KIM,42,40.683223,42,22.82450331,3,,,,,,,,,
T260,3,07/17/22,76,2.53,KIM,27,31.3636865,31.5,33.07119205,4,,,,,,,,,
T260,3,07/19/22,198,6.6,KIM,44,40.9828918,42.5,23.11203091,5,,,,,,,,,
