"V1" "V2" "V3" "V4" "V5" "V6" "V7"
1 "2022-01-30 07:46:24" 22 44.5 14.5 -6.2 10126936
2 "2022-01-30 07:46:34" 22 44.5 14.5 -6.2 NA
3 "2022-01-30 07:46:44" 22 44.5 16 -4.9 NA
4 "2022-01-30 07:46:54" 22.5 44.5 15 -5.4 NA
5 "2022-01-30 07:47:04" 22.5 44.5 14.5 -5.8 NA
6 "2022-01-30 07:47:14" 22.5 44.5 14 -6.3 NA
7 "2022-01-30 07:47:24" 22.5 44.5 14 -6.3 NA
8 "2022-01-30 07:47:34" 22.5 44.5 14 -6.3 NA
9 "2022-01-30 07:47:44" 22.5 44.5 14 -6.3 NA
10 "2022-01-30 07:47:54" 22.5 44.5 14 -6.3 NA
11 "2022-01-30 07:48:04" 22.5 44.5 14 -6.3 NA
12 "2022-01-30 07:48:14" 22.5 44.5 14 -6.3 NA
13 "2022-01-30 07:48:24" 22.5 44.5 14 -6.3 NA
14 "2022-01-30 07:48:34" 22.5 44.5 13.5 -6.8 NA
15 "2022-01-30 07:48:44" 22.5 44.5 13.5 -6.8 NA
16 "2022-01-30 07:48:54" 22.5 44.5 13.5 -6.8 NA
17 "2022-01-30 07:49:04" 22.5 44.5 13.5 -6.8 NA
18 "2022-01-30 07:49:14" 23 44.5 13.5 -6.4 NA
19 "2022-01-30 07:49:24" 23 44.5 13.5 -6.4 NA
20 "2022-01-30 07:49:34" 23 44.5 13.5 -6.4 NA
21 "2022-01-30 07:49:44" 23 44.5 13.5 -6.4 NA
22 "2022-01-30 07:49:54" 23 44.5 13.5 -6.4 NA
23 "2022-01-30 07:50:04" 23 44.5 13.5 -6.4 NA
24 "2022-01-30 07:50:14" 23 44.5 13.5 -6.4 NA
25 "2022-01-30 07:50:24" 23 44.5 13.5 -6.4 NA
26 "2022-01-30 07:50:34" 23 44.5 13.5 -6.4 NA
27 "2022-01-30 07:50:44" 23 44.5 13.5 -6.4 NA
28 "2022-01-30 07:50:54" 23 44.5 13.5 -6.4 NA
29 "2022-01-30 07:51:04" 23 44.5 13.5 -6.4 NA
30 "2022-01-30 07:51:14" 23 44.5 13.5 -6.4 NA
31 "2022-01-30 07:51:24" 23 44.5 13.5 -6.4 NA
32 "2022-01-30 07:51:34" 23 44.5 13.5 -6.4 NA
33 "2022-01-30 07:51:44" 23 44.5 13.5 -6.4 NA
34 "2022-01-30 07:51:54" 23 44.5 13.5 -6.4 NA
35 "2022-01-30 07:52:04" 23 44.5 13.5 -6.4 NA
36 "2022-01-30 07:52:14" 23 44.5 13.5 -6.4 NA
37 "2022-01-30 07:52:24" 23 44.5 13.5 -6.4 NA
38 "2022-01-30 07:52:34" 23 44.5 13.5 -6.4 NA
39 "2022-01-30 07:52:44" 23 44.5 13.5 -6.4 NA
40 "2022-01-30 07:52:54" 23 44.5 13.5 -6.4 NA
41 "2022-01-30 07:53:04" 23 44.5 13.5 -6.4 NA
42 "2022-01-30 07:53:14" 23 44.5 13.5 -6.4 NA
43 "2022-01-30 07:53:24" 23 44.5 13.5 -6.4 NA
44 "2022-01-30 07:53:34" 23 44.5 13.5 -6.4 NA
45 "2022-01-30 07:53:44" 23 44.5 13.5 -6.4 NA
46 "2022-01-30 07:53:54" 23 44.5 13.5 -6.4 NA
47 "2022-01-30 07:54:04" 23 44.5 13.5 -6.4 NA
48 "2022-01-30 07:54:14" 23 44.5 13.5 -6.4 NA
49 "2022-01-30 07:54:24" 23 44.5 13.5 -6.4 NA
50 "2022-01-30 07:54:34" 23 44.5 13.5 -6.4 NA
51 "2022-01-30 07:54:44" 23 44.5 13.5 -6.4 NA
52 "2022-01-30 07:54:54" 23 44.5 13.5 -6.4 NA
53 "2022-01-30 07:55:04" 23 44.5 13.5 -6.4 NA
54 "2022-01-30 07:55:14" 23 44.5 13.5 -6.4 NA
55 "2022-01-30 07:55:24" 23 44.5 13.5 -6.4 NA
56 "2022-01-30 07:55:34" 23 44.5 13.5 -6.4 NA
57 "2022-01-30 07:55:44" 23 44.5 13.5 -6.4 NA
58 "2022-01-30 07:55:54" 23 44.5 13.5 -6.4 NA
59 "2022-01-30 07:56:04" 23 44.5 13.5 -6.4 NA
60 "2022-01-30 07:56:14" 23 44.5 13.5 -6.4 NA
61 "2022-01-30 07:56:24" 23 44.5 14.5 -5.4 NA
62 "2022-01-30 07:56:34" 23 44.5 14.5 -5.4 NA
63 "2022-01-30 07:56:44" 23 44.5 14.5 -5.4 NA
64 "2022-01-30 07:56:54" 23 44.5 14.5 -5.4 NA
65 "2022-01-30 07:57:04" 23.5 44.5 14 -5.5 NA
66 "2022-01-30 07:57:14" 23.5 44.5 14 -5.5 NA
67 "2022-01-30 07:57:24" 24 44.5 14 -5.1 NA
68 "2022-01-30 07:57:34" 24 44.5 14 -5.1 NA
69 "2022-01-30 07:57:44" 24.5 44.5 13.5 -5.2 NA
70 "2022-01-30 07:57:54" 25 44.5 13.5 -4.8 NA
71 "2022-01-30 07:58:04" 25 44.5 13 -5.3 NA
72 "2022-01-30 07:58:14" 25.5 44.5 13 -4.9 NA
73 "2022-01-30 07:58:24" 26 44.5 13 -4.5 NA
74 "2022-01-30 07:58:34" 26.5 44.5 12.5 -4.6 NA
75 "2022-01-30 07:58:44" 26.5 44.5 12.5 -4.6 NA
76 "2022-01-30 07:58:54" 27 44.5 12.5 -4.3 NA
77 "2022-01-30 07:59:04" 27.5 44.5 12 -4.4 NA
78 "2022-01-30 07:59:14" 28 44.5 12 -4 NA
79 "2022-01-30 07:59:24" 28 44.5 12 -4 NA
80 "2022-01-30 07:59:34" 28.5 44.5 12 -3.6 NA
81 "2022-01-30 07:59:44" 29 44.5 11.5 -3.8 NA
82 "2022-01-30 07:59:54" 29 44.5 11.5 -3.8 NA
83 "2022-01-30 08:00:04" 29.5 44.5 11.5 -3.4 NA
84 "2022-01-30 08:00:14" 30 44.5 11.5 -3 NA
85 "2022-01-30 08:00:24" 30 44.5 11.5 -3 NA
86 "2022-01-30 08:00:34" 30.5 44.5 11 -3.3 NA
87 "2022-01-30 08:00:44" 30.5 44.5 11 -3.3 NA
88 "2022-01-30 08:00:54" 31 44.5 11 -2.9 NA
89 "2022-01-30 08:01:04" 31 44.5 10.5 -3.5 NA
90 "2022-01-30 08:01:14" 31.5 44.5 10.5 -3.1 NA
91 "2022-01-30 08:01:24" 32 44.5 10.5 -2.7 NA
92 "2022-01-30 08:01:34" 32 44.5 10.5 -2.7 NA
93 "2022-01-30 08:01:44" 32.5 44.5 10.5 -2.4 NA
94 "2022-01-30 08:01:54" 32.5 44.5 10.5 -2.4 NA
95 "2022-01-30 08:02:04" 32.5 44.5 10.5 -2.4 NA
96 "2022-01-30 08:02:14" 33 44.5 10.5 -2 NA
97 "2022-01-30 08:02:24" 33 44.5 10 -2.6 NA
98 "2022-01-30 08:02:34" 33.5 44.5 10 -2.3 NA
99 "2022-01-30 08:02:44" 33.5 44.5 10 -2.3 NA
100 "2022-01-30 08:02:54" 34 44.5 10 -1.9 NA
101 "2022-01-30 08:03:04" 34 44.5 10 -1.9 NA
102 "2022-01-30 08:03:14" 34 44.5 9.5 -2.6 NA
103 "2022-01-30 08:03:24" 34.5 44.5 9.5 -2.2 NA
104 "2022-01-30 08:03:34" 34.5 44.5 9.5 -2.2 NA
105 "2022-01-30 08:03:44" 35 44.5 9.5 -1.8 NA
106 "2022-01-30 08:03:54" 35 44.5 9.5 -1.8 NA
107 "2022-01-30 08:04:04" 35 44.5 9.5 -1.8 NA
108 "2022-01-30 08:04:14" 35.5 44.5 9.5 -1.5 NA
109 "2022-01-30 08:04:24" 35.5 44.5 9.5 -1.5 NA
110 "2022-01-30 08:04:34" 35.5 44.5 9.5 -1.5 NA
111 "2022-01-30 08:04:44" 36 44.5 9.5 -1.1 NA
112 "2022-01-30 08:04:54" 36 44.5 9 -1.8 NA
113 "2022-01-30 08:05:04" 36 44.5 9 -1.8 NA
114 "2022-01-30 08:05:14" 36.5 44.5 9 -1.4 NA
115 "2022-01-30 08:05:24" 36.5 44.5 9 -1.4 NA
116 "2022-01-30 08:05:34" 36.5 44.5 9 -1.4 NA
117 "2022-01-30 08:05:44" 37 44.5 9 -1.1 NA
118 "2022-01-30 08:05:54" 37 44.5 9 -1.1 NA
119 "2022-01-30 08:06:04" 37 44.5 9 -1.1 NA
120 "2022-01-30 08:06:14" 37.5 44.5 9 -0.7 NA
121 "2022-01-30 08:06:24" 37.5 44.5 9 -0.7 NA
122 "2022-01-30 08:06:34" 37.5 44.5 9 -0.7 NA
123 "2022-01-30 08:06:44" 37.5 44.5 8.5 -1.5 NA
124 "2022-01-30 08:06:54" 38 44.5 9 -0.3 NA
125 "2022-01-30 08:07:04" 38 44.5 8.5 -1.1 NA
126 "2022-01-30 08:07:14" 38 44.5 8.5 -1.1 NA
127 "2022-01-30 08:07:24" 38.5 44.5 8.5 -0.7 NA
128 "2022-01-30 08:07:34" 38.5 44.5 8.5 -0.7 NA
